market,identifier,fiscal_year,market_cap_usd,revenue_usd,operating_income_usd,net_income_usd,currency,source
KR,000010,2025,,,3822979680,2718591840,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS
KR,000020,2025,101592000,357403903.04016,184861.93032,2766506.3892,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,000030,2025,,,2534934240,1859111280,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS
KR,000040,2025,16632000,9950969.76048,-2081949.15888,-1365098.26536,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,000050,2025,158904000,296982631.77336,33115286.31768,34112985.08472,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,000060,2025,,2007951458.23728,1646294339.37384,1218864103.29792,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS
KR,000070,2025,302976000,2410766520.19992,78311323.36008,-214655670.79632,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,000080,2025,750384000,1798968111.32448,124083843.11856,29604418.97184,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,000100,2025,4232160000,1574379062.17776,75149635.55256,133429677.52824,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,000110,2025,,,242479440,101863440,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS
KR,000120,2025,1266336000,8844949779.3216,365818190.85216,186294931.07256,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,000140,2025,132696000,1788842901.34224,131941917.9108,11438374.17744,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,000150,2025,17232840000,14244579360,765154800,179647920,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,000180,2025,49392000,91597157.34696,-4988252.15928,-14860872.47232,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,0001A0,2025,164304000,103100565.14208,4809857.80968,3251553.4044,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,000210,2025,686520000,3835239330.44232,214953148.4832,-69334772.52672,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
