stock_code,base_date,foreign_owned_quantity,foreign_limit_quantity
003490,2015-01-02,10880173,29331851
003490,2015-01-05,10746950,29331851
003490,2015-01-06,10929973,29331851
003490,2015-01-07,11095467,29331851
003490,2015-01-08,10864535,29331851
003490,2015-01-09,10871165,29331851
003490,2015-01-12,10914577,29331851
003490,2015-01-13,10933728,29331851
003490,2015-01-14,10991070,29331851
003490,2015-01-15,11039162,29331851
003490,2015-01-16,11124584,29331851
003490,2015-01-19,11186480,29331851
003490,2015-01-20,11265785,29331851
003490,2015-01-21,11371617,29331851
003490,2015-01-22,11424752,29331851
003490,2015-01-23,11471965,29331851
003490,2015-01-26,11563543,29331851
003490,2015-01-27,11720541,29331851
003490,2015-01-28,11818011,29331851
003490,2015-01-29,11806402,29331851
003490,2015-01-30,11909173,29331851
003490,2015-02-02,11886318,29331851
003490,2015-02-03,11791328,29331851
003490,2015-02-04,11678041,29331851
003490,2015-02-05,11568145,29331851
003490,2015-02-06,11462506,29331851
003490,2015-02-09,11551814,29331851
003490,2015-02-10,11537501,29331851
003490,2015-02-11,11551110,29331851
003490,2015-02-12,11587333,29331851
003490,2015-02-13,11602853,29331851
003490,2015-02-16,11583447,29331851
003490,2015-02-17,11600387,29331851
003490,2015-02-23,11636002,29331851
003490,2015-02-24,11684997,29331851
003490,2015-02-25,11717917,29331851
003490,2015-02-26,11966062,29331851
003490,2015-02-27,12240283,29331851
003490,2015-03-02,12552635,29331851
003490,2015-03-03,12579605,29331851
003490,2015-03-04,12577125,29331851
003490,2015-03-05,12660333,29331851
003490,2015-03-06,12708942,29331851
003490,2015-03-09,12690552,29331851
003490,2015-03-10,12663586,29331851
003490,2015-03-11,12663328,29331851
003490,2015-03-12,12581661,29331851
003490,2015-03-13,12673524,29331851
003490,2015-03-16,12685487,29331851
003490,2015-03-17,12752717,29331851
003490,2015-03-18,12799850,29331851
003490,2015-03-19,12765902,29331851
003490,2015-03-20,12860346,29331851
003490,2015-03-23,12813572,29331851
003490,2015-03-24,12809805,29331851
003490,2015-03-25,12862637,29331851
003490,2015-03-26,12848806,29331851
003490,2015-03-27,12830497,29331851
003490,2015-03-30,12866837,29331851
003490,2015-03-31,13002313,29331851
003490,2015-04-01,14656755,36412588
003490,2015-04-02,14831416,36412588
003490,2015-04-03,14837185,36412588
003490,2015-04-06,14926519,36412588
003490,2015-04-07,14888752,36412588
003490,2015-04-08,14807636,36412588
003490,2015-04-09,14752718,36412588
003490,2015-04-10,14708598,36412588
003490,2015-04-13,14756876,36412588
003490,2015-04-14,14773023,36412588
003490,2015-04-15,14781387,36412588
003490,2015-04-16,14772084,36412588
003490,2015-04-17,14818721,36412588
003490,2015-04-20,14759947,36412588
003490,2015-04-21,14982381,36412588
003490,2015-04-22,15006191,36412588
003490,2015-04-23,15074236,36412588
003490,2015-04-24,15101545,36412588
003490,2015-04-27,15038113,36412588
003490,2015-04-28,15123229,36412588
003490,2015-04-29,15109516,36412588
003490,2015-04-30,15087225,36412588
003490,2015-05-04,15106886,36412588
003490,2015-05-06,15124052,36412588
003490,2015-05-07,14974957,36412588
003490,2015-05-08,14961595,36412588
003490,2015-05-11,14908379,36412588
003490,2015-05-12,14854861,36412588
003490,2015-05-13,14780495,36412588
003490,2015-05-14,14805127,36412588
003490,2015-05-15,14723203,36412588
003490,2015-05-18,14597753,36412588
003490,2015-05-19,14512949,36412588
003490,2015-05-20,14402830,36412588
003490,2015-05-21,14436312,36412588
003490,2015-05-22,14345033,36412588
003490,2015-05-26,14275807,36412588
003490,2015-05-27,14107426,36412588
003490,2015-05-28,14075968,36412588
003490,2015-05-29,13964625,36412588
003490,2015-06-01,13862525,36412588
003490,2015-06-02,13729795,36412588
003490,2015-06-03,13733473,36412588
003490,2015-06-04,13681381,36412588
003490,2015-06-05,13541817,36412588
003490,2015-06-08,13555155,36412588
003490,2015-06-09,13488797,36412588
003490,2015-06-10,13522111,36412588
003490,2015-06-11,13459944,36412588
003490,2015-06-12,13526683,36412588
003490,2015-06-15,13388577,36412588
003490,2015-06-16,13342471,36412588
003490,2015-06-17,13423849,36412588
003490,2015-06-18,13344062,36412588
003490,2015-06-19,13383561,36412588
003490,2015-06-22,13595667,36412588
003490,2015-06-23,13570074,36412588
003490,2015-06-24,13599105,36412588
003490,2015-06-25,13623946,36412588
003490,2015-06-26,13611261,36412588
003490,2015-06-29,13625404,36412588
003490,2015-06-30,13628667,36412588
003490,2015-07-01,13612838,36412588
003490,2015-07-02,13547100,36412588
003490,2015-07-03,13684229,36412588
003490,2015-07-06,13695126,36412588
003490,2015-07-07,13731709,36412588
003490,2015-07-08,13794007,36412588
003490,2015-07-09,13696955,36412588
003490,2015-07-10,13686551,36412588
003490,2015-07-13,13674439,36412588
003490,2015-07-14,13599284,36412588
003490,2015-07-15,13458312,36412588
003490,2015-07-16,13338893,36412588
003490,2015-07-17,15800558,36412588
003490,2015-07-20,15514414,36412588
003490,2015-07-21,15273455,36412588
003490,2015-07-22,14873865,36412588
003490,2015-07-23,14690443,36412588
003490,2015-07-24,14422055,36412588
003490,2015-07-27,14217781,36412588
003490,2015-07-28,14097833,36412588
003490,2015-07-29,13868639,36412588
003490,2015-07-30,13836518,36412588
003490,2015-07-31,13728554,36412588
003490,2015-08-03,13655045,36412588
003490,2015-08-04,13601339,36412588
003490,2015-08-05,13820669,36412588
003490,2015-08-06,13711343,36412588
003490,2015-08-07,13723834,36412588
003490,2015-08-10,13722055,36412588
003490,2015-08-11,13807920,36412588
003490,2015-08-12,13601643,36412588
003490,2015-08-13,13501027,36412588
003490,2015-08-17,13378638,36412588
003490,2015-08-18,13229891,36412588
003490,2015-08-19,13079293,36412588
003490,2015-08-20,12949164,36412588
003490,2015-08-21,12912886,36412588
003490,2015-08-24,12863997,36412588
003490,2015-08-25,12832244,36412588
003490,2015-08-26,12680329,36412588
003490,2015-08-27,12687526,36412588
003490,2015-08-28,12630151,36412588
